year,team,p_average
2000,Minardi,13.852941176470589
2000,Prost,15.588235294117647
2000,Sauber,12.147058823529411
2000,Williams,10.411764705882353
2001,Arrows,13.970588235294118
2001,BAR,11.205882352941176
2001,Benetton,12.617647058823529
2001,Ferrari,4.911764705882353
2001,Jaguar,13.882352941176471
2001,Jordan,12.098039215686276
2001,McLaren,8.235294117647058
2001,Minardi,15.323529411764707
2001,Prost,12.529411764705882
2001,Sauber,11.441176470588236
2001,Williams,10.352941176470589
2002,Arrows,15.75
2002,BAR,12.617647058823529
2002,Ferrari,4.235294117647059
2002,Jaguar,13.088235294117647
2002,Jordan,12.529411764705882
2002,McLaren,9.382352941176471
2002,Minardi,14.941176470588236
2002,Renault,10.794117647058824
2002,Sauber,10.5
2002,Toyota,13.735294117647058
2002,Williams,6.9411764705882355
2003,Arrows,21.0
2003,BAR,11.84375
2003,Ferrari,6.09375
2003,Jaguar,12.4375
2003,Jordan,13.895833333333334
2003,McLaren,7.09375
2003,Minardi,14.0625
2003,Renault,9.09375
2003,Sauber,12.125
2003,Toyota,12.0
2003,Williams,6.802083333333333
2004,BAR,7.805555555555555
2004,Ferrari,3.3055555555555554
2004,Jaguar,12.805555555555555
2004,Jordan,14.666666666666666
2004,McLaren,10.472222222222221
2004,Minardi,16.055555555555557
2004,Renault,7.805555555555555
2004,Sauber,9.694444444444445
2004,Toyota,13.194444444444445
2004,Williams,8.88888888888889
2005,BAR,12.07843137254902
2005,Ferrari,8.5
2005,Jordan,13.868421052631579
2005,McLaren,7.315789473684211
2005,Minardi,15.289473684210526
2005,Red Bull,11.578947368421053
2005,Renault,6.684210526315789
2005,Sauber,11.578947368421053
2005,Toyota,8.710526315789474
2005,Williams,11.473684210526315
2006,BMW Sauber,10.833333333333334
2006,Ferrari,5.25
2006,Honda,8.805555555555555
2006,McLaren,9.5
2006,Midland,15.972222222222221
2006,Red Bull,13.25
2006,Renault,4.916666666666667
2006,Super Aguri,17.22222222222222
2006,Toro Rosso,13.63888888888889
2006,Toyota,11.944444444444445
2006,Williams,15.027777777777779
2007,BMW Sauber,7.735294117647059
2007,Ferrari,4.9411764705882355
2007,Honda,13.294117647058824
2007,McLaren,3.9705882352941178
2007,Red Bull,13.441176470588236
2007,Renault,9.441176470588236
2007,Spyker,17.38235294117647
2007,Super Aguri,15.0
2007,Toro Rosso,16.5
2007,Toyota,13.029411764705882
2007,Williams,11.676470588235293
2008,BMW Sauber,6.055555555555555
2008,Ferrari,6.527777777777778
2008,Force India,16.88888888888889
2008,Honda,13.777777777777779
2008,McLaren,6.555555555555555
2008,Red Bull,11.61111111111111
2008,Renault,10.25
2008,Super Aguri,16.9
2008,Toro Rosso,12.86111111111111
2008,Toyota,9.972222222222221
2008,Williams,11.777777777777779
2009,BMW Sauber,11.088235294117647
2009,Brawn GP,4.882352941176471
2009,Ferrari,9.764705882352942
2009,Force India,13.911764705882353
2009,McLaren,10.470588235294118
2009,Red Bull,7.029411764705882
2009,Renault,12.411764705882353
2009,Toro Rosso,14.911764705882353
2009,Toyota,9.529411764705882
2009,Williams,10.970588235294118
2010,BMW Sauber,15.078947368421053
2010,Ferrari,6.631578947368421
2010,Force India,13.342105263157896
2010,HRT,19.017543859649123
2010,Lotus,18.13157894736842
2010,McLaren,6.394736842105263
2010,Mercedes,9.131578947368421
2010,Red Bull,6.052631578947368
2010,Renault,10.973684210526315
2010,Toro Rosso,13.710526315789474
2010,Virgin,19.05263157894737
2010,Williams,12.552631578947368
2011,Ferrari,6.552631578947368
2011,Force India,11.31578947368421
2011,HRT,20.0
2011,Lotus,17.789473684210527
2011,McLaren,5.842105263157895
2011,Mercedes,10.421052631578947
2011,Red Bull,3.473684210526316
2011,Renault,12.657894736842104
2011,Sauber,13.745614035087721
2011,Toro Rosso,13.81578947368421
2011,Virgin,18.894736842105264
2011,Williams,15.605263157894736
2012,Caterham,16.75
2012,Ferrari,6.825
2012,Force India,11.075
2012,HRT,20.31578947368421
2012,Lotus,9.15
2012,Marussia,18.05
2012,McLaren,9.075
2012,Mercedes,12.575
2012,Red Bull,6.475
2012,Sauber,12.55
2012,Toro Rosso,13.325
2012,Williams,13.675
2013,Caterham,17.894736842105264
2013,Ferrari,6.842105263157895
2013,Force India,12.921052631578947
2013,Lotus,8.5
2013,Marussia,17.894736842105264
2013,McLaren,9.631578947368421
2013,Mercedes,6.684210526315789
2013,Red Bull,4.815789473684211
2013,Sauber,12.68421052631579
2013,Toro Rosso,14.105263157894736
2013,Williams,14.526315789473685
2014,Caterham,17.794117647058822
2014,Ferrari,8.473684210526315
2014,Force India,9.973684210526315
2014,Lotus,15.157894736842104
2014,Marussia,16.96875
2014,McLaren,8.947368421052632
2014,Mercedes,4.2105263157894735
2014,Red Bull,6.7105263157894735
2014,Sauber,16.236842105263158
2014,Toro Rosso,13.289473684210526
2014,Williams,7.815789473684211
2015,Ferrari,6.026315789473684
2015,Force India,10.552631578947368
2015,Lotus,12.578947368421053
2015,Marussia,16.166666666666668
2015,McLaren,14.605263157894736
2015,Mercedes,3.210526315789474
