constructorStandingsId,raceId,constructorId,points,position,positionText,wins,raceId2
576,72,4,26.0,1,1,2,733
577,72,6,10.0,4,4,0,733
578,72,9,11.0,3,3,0,733
579,72,3,10.0,5,5,0,733
580,72,1,9.0,6,6,0,733
581,72,7,12.0,2,2,0,733
582,72,15,0.0,7,7,0,733
583,72,17,0.0,8,8,0,733
584,72,18,0.0,9,9,0,733
1808,73,18,0.0,9,9,0,734
1807,73,17,0.0,8,8,0,734
1806,73,15,2.0,7,7,0,734
1805,73,7,25.0,2,2,0,734
1804,73,1,19.0,3,3,0,734
1803,73,3,13.0,4,4,0,734
1802,73,9,12.0,5,5,0,734
1801,73,6,10.0,6,6,0,734
1800,73,4,36.0,1,1,3,734
1817,74,18,0.0,9,9,0,735
1816,74,17,0.0,8,8,0,735
1815,74,15,7.0,7,7,0,735
1814,74,7,29.0,2,2,0,735
1813,74,1,25.0,3,3,0,735
1812,74,3,18.0,5,5,0,735
1811,74,9,13.0,6,6,0,735
1810,74,6,18.0,4,4,0,735
1809,74,4,46.0,1,1,4,735
24516,75,17,0.0,8,8,0,736
24515,75,16,0.0,10,10,0,736
24514,75,15,7.0,7,7,0,736
24513,75,7,40.0,2,2,0,736
24512,75,1,37.0,3,3,1,736
24511,75,3,21.0,4,4,0,736
24510,75,9,14.0,6,6,0,736
24509,75,6,18.0,5,5,0,736
24508,75,4,58.0,1,1,4,736
24517,75,18,0.0,9,9,0,736
612,76,4,63.0,1,1,4,737
613,76,6,21.0,5,5,0,737
614,76,9,14.0,6,6,0,737
615,76,3,35.0,4,4,0,737
616,76,1,51.0,2,2,2,737
617,76,7,43.0,3,3,0,737
618,76,15,7.0,7,7,0,737
619,76,17,0.0,8,8,0,737
620,76,18,0.0,9,9,0,737
621,77,4,76.0,1,1,5,738
622,77,6,31.0,5,5,0,738
623,77,9,19.0,6,6,0,738
624,77,3,43.0,4,4,0,738
625,77,1,53.0,2,2,2,738
626,77,7,44.0,3,3,0,738
627,77,15,7.0,7,7,0,738
628,77,17,0.0,8,8,0,738
629,77,18,0.0,10,10,0,738
630,77,16,0.0,9,9,0,738
1827,78,16,0.0,9,9,0,739
1826,78,18,0.0,10,10,0,739
1825,78,17,0.0,8,8,0,739
1824,78,15,12.0,7,7,0,739
1823,78,7,47.0,4,4,0,739
1822,78,1,63.0,2,2,3,739
1821,78,3,47.0,3,3,0,739
1820,78,9,22.0,6,6,0,739
1819,78,6,45.0,5,5,0,739
1818,78,4,76.0,1,1,5,739
1672,79,16,0.0,10,10,0,740
1671,79,18,7.0,9,9,0,740
1670,79,17,11.0,8,8,0,740
1669,79,15,12.0,7,7,0,740
1668,79,7,47.0,5,5,0,740
1667,79,1,63.0,2,2,3,740
1666,79,3,47.0,4,4,0,740
1665,79,9,22.0,6,6,0,740
1664,79,6,63.0,3,3,1,740
1663,79,4,76.0,1,1,5,740
651,80,4,89.0,1,1,6,741
652,80,6,69.0,3,3,1,741
653,80,9,22.0,6,6,0,741
654,80,3,47.0,5,5,0,741
655,80,1,71.0,2,2,3,741
656,80,7,53.0,4,4,0,741
657,80,15,13.0,7,7,0,741
658,80,17,11.0,8,8,0,741
659,80,18,7.0,9,9,0,741
660,80,16,5.0,10,10,0,741
661,81,4,102.0,1,1,6,742
662,81,6,74.0,3,3,1,742
663,81,9,22.0,6,6,0,742
664,81,3,47.0,5,5,0,742
665,81,1,87.0,2,2,4,742
666,81,7,54.0,4,4,0,742
667,81,15,13.0,7,7,0,742
668,81,17,11.0,8,8,0,742
669,81,18,7.0,10,10,0,742
670,81,16,9.0,9,9,0,742
671,82,4,117.0,1,1,7,743
672,82,6,78.0,3,3,1,743
673,82,9,24.0,6,6,0,743
674,82,3,47.0,5,5,0,743
675,82,1,95.0,2,2,4,743
676,82,7,57.0,4,4,0,743
677,82,15,14.0,8,8,0,743
678,82,17,11.0,9,9,0,743
679,82,18,7.0,10,10,0,743
680,82,16,15.0,7,7,0,743
681,83,4,117.0,1,1,7,744
682,83,6,86.0,3,3,1,744
683,83,9,24.0,6,6,0,744
684,83,3,52.0,5,5,0,744
685,83,1,105.0,2,2,5,744
686,83,7,68.0,4,4,0,744
687,83,15,14.0,8,8,0,744
688,83,17,11.0,9,9,0,744
689,83,18,7.0,10,10,0,744
690,83,16,20.0,7,7,0,744
691,84,4,130.0,1,1,7,745
692,84,6,86.0,3,3,1,745
693,84,9,27.0,6,6,0,745
694,84,3,52.0,5,5,0,745
695,84,1,121.0,2,2,6,745
696,84,7,71.0,4,4,0,745
697,84,15,14.0,8,8,0,745
698,84,17,11.0,9,9,0,745
699,84,18,7.0,10,10,0,745
700,84,16,24.0,7,7,0,745
701,85,4,144.0,1,1,7,746
702,85,6,86.0,3,3,1,746
703,85,9,27.0,6,6,0,746
704,85,3,54.0,5,5,0,746
705,85,1,136.0,2,2,7,746
706,85,7,78.0,4,4,0,746
707,85,15,14.0,8,8,0,746
708,85,17,11.0,9,9,0,746
709,85,18,7.0,10,10,0,746
710,85,16,25.0,7,7,0,746
711,86,4,152.0,1,1,7,747
712,86,6,90.0,3,3,1,747
713,86,9,27.0,7,7,0,747
714,86,3,59.0,5,5,0,747
715,86,1,146.0,2,2,8,747
716,86,7,80.0,4,4,0,747
717,86,15,17.0,8,8,0,747
718,86,17,12.0,9,9,0,747
719,86,18,7.0,10,10,0,747
720,86,16,31.0,6,6,0,747
721,87,4,162.0,2,2,7,748
722,87,6,98.0,3,3,1,748
723,87,9,27.0,7,7,0,748
724,87,3,59.0,5,5,0,748
